model_name,train_rmse,val_rmse,train_r2,val_r2,overfitting
Linear Regression,1175.3573086956303,1104.3698264218401,0.5329812907367324,0.5512707338130544,70.98748227379019
Random Forest (tuned),970.6613214767268,1020.9160182555688,0.681484989816127,0.616526491909382,-50.254696778842
XGBoost (tuned),1085.7150584855533,1027.3332060526564,0.6015019711573357,0.6116905299210347,58.38185243289695
LightGBM (tuned),1088.0010350571226,1026.7514698851805,0.5998221267778248,0.6121301724916897,61.249565171942095
